nome,partido,id_dep,qtd
Orlando Silva,pcdob,178987.0,14
Osmar Bertoldi,dem,180545.0,24
Osmar Serraglio,pmdb,73463.0,3
Otavio Leite,psdb,141515.0,9
Padre João,pt,160556.0,13
Paes Landim,ptb,74319.0,12
Pastor Eurico,phs,160642.0,16
Pastor Luciano Braga,prb,193982.0,5
Patrus Ananias,pt,74160.0,14
Pauderney Avelino,dem,74095.0,12
Paulo Abi-Ackel,psdb,141516.0,16
Paulo Azi,dem,178860.0,6
Paulo Feijó,pr,74017.0,7
Paulo Foletto,psb,160517.0,15
Paulo Freire,pr,160558.0,22
Paulo Henrique Lustosa,pp,141517.0,13
Paulo Magalhães,psd,74574.0,9
Paulo Maluf,pp,132056.0,24
Paulo Pereira da Silva,solidaried,141518.0,26
Paulo Pimenta,pt,74400.0,25
Paulo Teixeira,pt,141488.0,21
Paulão,pt,171617.0,20
Pedro Chaves,pmdb,74812.0,1
Pedro Cunha Lima,psdb,178912.0,6
Pedro Fernandes,ptb,74449.0,4
Pedro Paulo,pmdb,122158.0,8
Pedro Uczai,pt,160604.0,22
Pedro Vilela,psdb,178844.0,6
Pepe Vargas,pt,141445.0,8
Pollyana Gama,pps,195997.0,13
Pompeo de Mattos,pdt,73486.0,10
Pr. Luciano Braga,prb,193982.0,5
Pr. Marco Feliciano,psc,160601.0,3
Professor Victório Galli,psc,148134.0,8
Professora Dorinha Seabra Rezende,dem,160639.0,12
Professora Marcivania,pcdob,160641.0,6
Rafael Motta,psb,178951.0,17
Raimundo Gomes de Matos,psdb,74216.0,10
Raquel Muniz,psd,178998.0,9
Reginaldo Lopes,pt,74161.0,12
Reinhold Stephanes,psd,73786.0,14
Remídio Monai,pr,178960.0,17
Renata Abreu,pode,178989.0,7
Renata Abreu,ptn,178989.0,9
Renato Andrade,pp,171620.0,7
Renato Molling,pp,141527.0,6
Renzo Braz,pp,160654.0,18
Ricardo Izar,pp,160655.0,10
Ricardo Teobaldo,pode,178920.0,6
Ricardo Teobaldo,ptn,178920.0,16
Ricardo Tripoli,psdb,141472.0,15
Roberto Alves,prb,152610.0,2
Roberto Balestra,pp,73674.0,17
Roberto Britto,pp,141529.0,4
Roberto Freire,pps,73805.0,2
Roberto Góes,pdt,178995.0,31
Roberto Sales,prb,178944.0,24
Roberto de Lucena,pv,160653.0,13
Robinson Almeida,pt,91208.0,14
Rocha,psdb,178840.0,11
Rocha Loures,pmdb,141532.0,6
Rodrigo Maia,dem,74693.0,9
Rodrigo Martins,psb,178926.0,7
Rodrigo Pacheco,pmdb,178897.0,12
Rodrigo de Castro,psdb,141531.0,3
Rogério Marinho,psdb,141535.0,13
Rogério Peninha Mendonça,pmdb,160651.0,1
Rogério Rosso,psd,160426.0,14
Ronaldo Carletto,pp,178861.0,8
Ronaldo Fonseca,pros,160637.0,16
Ronaldo Lessa,pdt,178845.0,15
Ronaldo Martins,prb,122466.0,17
Rosangela Gomes,prb,178945.0,5
Rosinha da Adefal,ptdob,146949.0,17
Rubens Bueno,pps,73466.0,2
Rubens Otoni,pt,74371.0,15
Rubens Pereira Júnior,pcdob,178887.0,22
Rômulo Gouveia,psd,141536.0,24
Rôney Nemer,pp,178870.0,24
Sabino Castelo Branco,ptb,141522.0,15
Sandro Alex,psd,160621.0,5
Saraiva Felipe,pmdb,74762.0,10
Sergio Souza,pmdb,178933.0,9
Sergio Vidigal,pdt,178874.0,8
Sergio Zveiter,pmdb,160612.0,24
Severino Ninho,psb,167614.0,6
Shéridan,psdb,178961.0,9
Silas Câmara,prb,74356.0,20
Silas Freire,pode,187008.0,3
Silas Freire,pr,187008.0,4
Silvio Costa,ptdob,4930.0,28
Silvio Torres,psdb,73560.0,10
Simone Morgado,pmdb,178911.0,15
Simão Sessim,pp,73424.0,8
Soraya Santos,pmdb,178946.0,9
Stefano Aguiar,psd,92776.0,12
Subtenente Gonzaga,pdt,177282.0,7
Ságuas Moraes,pt,160630.0,9
Sérgio Brito,psd,73808.0,24
Sérgio Moraes,ptb,141542.0,11
Sérgio Reis,prb,178991.0,30
Sóstenes Cavalcante,dem,178947.0,7
Tadeu Alencar,psb,178922.0,6
Takayama,psc,74385.0,14
Tereza Cristina,psb,178901.0,20
Thiago Peixoto,psd,160617.0,8
Tia Eron,prb,178862.0,7
Toninho Pinheiro,pp,160611.0,6
Toninho Wandscheer,pros,178934.0,7
Uldurico Junior,pv,178863.0,24
Vaidon Oliveira,dem,195866.0,11
Valadares Filho,psb,141384.0,12
Valdir Colatto,pmdb,74010.0,8
Valmir Assunção,pt,160610.0,2
Valmir Prascidelli,pt,113247.0,16
Valtenir Pereira,pmdb,141552.0,9
Valtenir Pereira,psb,141552.0,1
Vander Loubet,pt,74376.0,12
Vanderlei Macris,psdb,141553.0,9
Veneziano Vital do Rêgo,pmdb,178913.0,8
Vicente Candido,pt,160622.0,36
Vicentinho,pt,74283.0,8
Vicentinho Júnior,pr,137070.0,12
Victor Mendes,psd,178888.0,1
Vinicius Carvalho,prb,141555.0,22
Vinicius Gurgel,pr,160591.0,36
Vitor Lippi,psdb,178992.0,9
Vitor Valim,pmdb,178869.0,10
Wadih Damous,pt,189593.0,18
Waldenor Pereira,pt,160569.0,14
Waldir Maranhão,pp,141558.0,11
Walney Rocha,pen,160631.0,1
Walter Alves,pmdb,178952.0,13
Walter Ihoshi,psd,141560.0,9
Weliton Prado,pmb,160518.0,3
Wellington Roberto,pr,74043.0,23
Weverton Rocha,pdt,167493.0,25
Wilson Beserra,pmdb,193066.0,10
Wilson Filho,ptb,160636.0,11
Wladimir Costa,solidaried,73930.0,29
Wolney Queiroz,pdt,74439.0,15
Yeda Crusius,psdb,73992.0,11
Zeca Cavalcanti,ptb,178923.0,10
Zeca Dirceu,pt,160592.0,28
Zeca do Pt,pt,178902.0,5
Zenaide Maia,pr,178949.0,3
Zé Augusto Nalin,pmdb,191945.0,5
Zé Carlos,pt,178889.0,14
Zé Geraldo,pt,73931.0,15
Zé Silva,solidaried,160632.0,5
Átila Lins,psd,74090.0,20
Átila Lira,psb,74459.0,2
