,id,nome,numero,ano,datApresentacao,txtEmenta,txtExplicacaoEmenta,qtdAutores,indGenero,qtdOrgaosComEstado,tipoProposicao_id,tipoProposicao_sigla,tipoProposicao_nome,orgaoNumerador_sigla,orgaoNumerador_nome,orgaoNumerador_id,regime_txtRegime,regime_codRegime,apreciacao_txtApreciacao,apreciacao_id,autor1_txtSiglaPartido,autor1_idecadastro,autor1_txtNomeAutor,autor1_codPartido,autor1_txtSiglaUF,ultimoDespacho_datDespacho,ultimoDespacho_txtDespacho,situacao_id,situacao_descricao,situacao_principal_proposicaoPrincipal,situacao_principal_codProposicaoPrincipal,situacao_orgao_codOrgaoEstado,situacao_orgao_siglaOrgaoEstado
2065,2124640,PL 7022/2017,7022,2017,7/3/2017 17:42:00,"Altera a Lei nº 9.503, de 23 de setembro de 1997, que instituiu o Código de Trânsito Brasileiro, para proibir o uso de veículo de tração animal",,1,o,1,139,PL,Projeto de Lei,PLEN,PLENÁRIO,180,"Ordinária (Art. 151, III, RICD)",14,Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II,4,PPS,178972,Alex Manente,118,SP,24/3/2017 12:03:00,"Apense-se à(ao) PL-6357/2013. Esclareço, por oportuno, que em decorrência desta apensação a Comissão de Viação e Transportes deverá se manifestar quanto ao mérito da matéria.",925,Tramitando em Conjunto,PL 6357/2013,592145,2015,CTASP
2066,2124638,PL 7020/2017,7020,2017,7/3/2017 17:37:00,"Altera o art. 20 da Lei nº 8.036, de 11 de maio de 1990, para permitir a movimentação do saldo da conta vinculada do trabalhador no Fundo de Garantia do Tempo de Serviço - FGTS na hipótese de custeio de tratamento para infertilidade.",,1,o,1,139,PL,Projeto de Lei,PLEN,PLENÁRIO,180,"Prioridade (Art. 151, II, RICD)",20,Proposição Sujeita à Apreciação do Plenário,5,PMDB,160651,Rogério Peninha Mendonça,111,SC,24/3/2017 08:35:00,"Apense-se à(ao) PL-7172/2014. Proposição Sujeita à Apreciação do Plenário. Regime de Tramitação: Prioridade (Art. 151, II, RICD)",925,Tramitando em Conjunto,PL 7172/2014,606648,2014,CSSF
2067,2124620,PL 7019/2017,7019,2017,7/3/2017 16:34:00,Dispõe sobre a emissão de documentos médicos por meio eletrônico.,,1,o,1,139,PL,Projeto de Lei,PLEN,PLENÁRIO,180,"Prioridade (Art. 151, II, RICD)",20,Proposição Sujeita à Apreciação do Plenário,5,PP,66828,Fausto Pinato,115,SP,,,925,Tramitando em Conjunto,PL 4365/2008,417369,2002,CCTCI
2068,2124615,PL 7018/2017,7018,2017,7/3/2017 16:18:00,Altera o Código Penal.,"Altera o Decreto-Lei nº 2.848, de 1940, para por fim a atenuante da idade inferior a 21 anos de idade.",1,o,1,139,PL,Projeto de Lei,PLEN,PLENÁRIO,180,"Urgência (Art. 155, RICD)",21,Proposição Sujeita à Apreciação do Plenário,5,PDT,167493,Weverton Rocha,104,MA,24/3/2017 08:35:00,"Apense-se à(ao) PL-5272/2005. Proposição Sujeita à Apreciação do Plenário. Regime de Tramitação: Urgência (Art. 155, RICD)",923,Arquivada,PL 5272/2005,286143,4,MESA
2069,2124608,PL 7017/2017,7017,2017,7/3/2017 15:49:00,"Acrescenta o § 3º ao art. 46 da Lei nº 9.394, de 20 de dezembro de 1996, que estabelece as diretrizes e bases da educação nacional, para proibir a autorização e o reconhecimento dos cursos de graduação que sejam ministrados na modalidade a distância.",,1,o,1,139,PL,Projeto de Lei,PLEN,PLENÁRIO,180,.,99,.,99,PCdoB,74057,Alice Portugal,99,BA,,,950,Retirado pelo Autor,,0,4,MESA
2070,2124603,PL 7015/2017,7015,2017,7/3/2017 15:37:00,"Altera lei complementar nº 64, de 18 de maio de 1990, definindo que, mesmo com a concessão de indulto, graça ou anistia o político permanecerá inelegível.",,1,o,1,139,PL,Projeto de Lei,PLEN,PLENÁRIO,180,.,99,.,99,PSB,178978,Flavinho,125,SP,,,950,Retirado pelo Autor,,0,4,MESA
2071,2124604,PL 7016/2017,7016,2017,7/3/2017 15:37:00,"Altera a lei nº 10.741, de 1º de outubro de 2003 que dispõe sobre o Estatuto do Idoso e dá outras providências, para incluir como crime violência cometida contra idoso sob cuidados de entidades de atendimento.",,1,o,1,139,PL,Projeto de Lei,PLEN,PLENÁRIO,180,"Ordinária (Art. 151, III, RICD)",14,Proposição Sujeita à Apreciação do Plenário,5,PSB,178978,Flavinho,125,SP,16/3/2017 15:37:00,"Apense-se à(ao) PL-2900/2015. Proposição Sujeita à Apreciação do Plenário. Regime de Tramitação: Ordinária (Art. 151, III, RICD)",925,Tramitando em Conjunto,PL 2900/2015,1712413,2014,CSSF
2072,2124592,PL 7014/2017,7014,2017,7/3/2017 15:23:00,"Instituir Cadastro de Empregadores que tenham submetido trabalhadores a condições análogas à de escravo, denominado CEmEsc.",,1,o,1,139,PL,Projeto de Lei,PLEN,PLENÁRIO,180,"Prioridade (Art. 151, II, RICD)",20,Proposição Sujeita à Apreciação do Plenário,5,SD,160512,Aureo,224,RJ,24/3/2017 08:35:00,"Apense-se à(ao) PL-3107/2012. Proposição Sujeita à Apreciação do Plenário. Regime de Tramitação: Prioridade (Art. 151, II, RICD)",925,Tramitando em Conjunto,PL 3107/2012,533829,2015,CTASP
2073,2124576,PL 7011/2017,7011,2017,7/3/2017 14:36:00,"Dispõe sobre a obrigatoriedade das Unidades Hospitalares da Rede Pública e Privada realizarem os exames para diagnóstico precoce da encefalopatia crônica não progressiva da infância (PC - paralisia cerebral) nos recém-nascidos, e dá outras providências",,1,o,1,139,PL,Projeto de Lei,PLEN,PLENÁRIO,180,"Ordinária (Art. 151, III, RICD)",14,Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II,4,PR,178865,Cabo Sabino,168,CE,24/8/2017 15:25:00,"Deferido o Requerimento n. 7.005/2017, conforme despacho do seguinte teor: Defiro o Requerimento n. 7.005/2017. Desapensem-se do Projeto de Lei n. 4.090/2015 os Projetos de Lei n. 4.237/2015, 5.574/2016, 5.767/2016, 6.394/2016, 6.771/2016 e 7.011/2017, nos termos do art. 142 do RICD. Apensem-se ao Projeto de Lei n. 4.237/2015 os Projetos de Lei n. 5.574/2016, 5.767/2016, 6.394/2016, 6.771/2016 e 7.011/2017, nos termos do art. 143, II, b, do RICD. Publique-se. Oficie-se.[ATUALIZAÇÃO DO DESPACHO DO PL N. 4.237/2015: à CSSF, à CFT (art. 54 do RICD) e à CCJC (art. 54 do RICD). Proposição sujeita à apreciação conclusiva pelas Comissões (art. 24, II, do RICD). Regime de tramitação: ordinário.]",925,Tramitando em Conjunto,PL 4237/2015,2076110,2014,CSSF
2074,2124578,PL 7013/2017,7013,2017,7/3/2017 14:36:00,Determina a utilização de massa asfáltica produzida com borracha de pneumáticos inservíveis provenientes de reciclagem,,1,o,1,139,PL,Projeto de Lei,PLEN,PLENÁRIO,180,"Ordinária (Art. 151, III, RICD)",14,Proposição Sujeita à Apreciação do Plenário,5,PR,178865,Cabo Sabino,168,CE,16/3/2017 15:14:00,"Apense-se à(ao) PL-132/2011.Tendo em vista esta apensação, determino que o PL 132/11 e seus apensados sejam apreciados também pela Comissão de Finanças e de Tributação. Proposição Sujeita à Apreciação do Plenário. Regime de Tramitação: Ordinária (Art. 151, III, RICD)",925,Tramitando em Conjunto,PL 132/2011,491123,180,PLEN
